Scientific.name,Common.name,Confidence,Audio_IDs,Site_IDs
Picus viridis,Eurasian Green Woodpecker,"0.11,   0.15,   0.19,   0.22,   0.23,   0.28,   0.36,   0.57,   0.63,   0.63,   0.63,   0.81,   0.91,   0.93,   0.95,   0.95","A024,   A035,   A026,   A029,   A032,   A027,   A033,   A034,   A023,   xa23,   A022,   A036,   A030,   A037,   A021,   A025","7,   2,   19,   17,   18,   6,   13,   12,   16,   11,   15,   3,   8,   14,   1,   10"
Troglodytes troglodytes,Eurasian Wren,"0.11,   0.13,   0.15,   0.16,   0.18,   0.22,   0.23,   0.32,   0.49,   0.54,   0.58,   0.72","A033,   A035,   A037,   A024,   A029,   xa23,   A023,   A036,   A021,   A034,   A030,   A027","13,   2,   14,   7,   17,   11,   16,   3,   1,   12,   8,   6"
Rallus aquaticus,Water Rail,"0.11,   0.11,   0.11,   0.12,   0.12,   0.13,   0.13,   0.14,   0.18,   0.18,   0.2,   0.2,   0.26,   0.28,   0.28,   0.64","A026,   A027,   xa23,   A036,   A021,   A029,   A024,   A025,   A034,   A032,   A037,   A023,   A022,   A035,   A033,   A030","19,   6,   11,   3,   1,   17,   7,   10,   12,   18,   14,   16,   15,   2,   13,   8"
Poecile palustris,Marsh Tit,"0.1,   0.13,   0.14,   0.14,   0.16,   0.19","A021,   A027,   xa23,   A024,   A035,   A037","1,   6,   11,   7,   2,   14"
Sylvia borin,Garden Warbler,"0.1,   0.1,   0.1,   0.1,   0.11,   0.11,   0.12,   0.13,   0.13,   0.14,   0.15,   0.17,   0.2,   0.26,   0.37,   0.65","A036,   A033,   A035,   A037,   A024,   A027,   A021,   A025,   A022,   A026,   A032,   xa23,   A023,   A034,   A029,   A030","3,   13,   2,   14,   7,   6,   1,   10,   15,   19,   18,   11,   16,   12,   17,   8"
Corvus corone,Carrion Crow,"0.11,   0.11,   0.12,   0.13,   0.16,   0.16,   0.17,   0.17,   0.17,   0.21,   0.22,   0.27,   0.27,   0.51,   0.51,   0.55","A036,   A034,   A022,   A029,   A023,   xa23,   A026,   A021,   A032,   A037,   A024,   A027,   A025,   A035,   A033,   A030","3,   12,   15,   17,   16,   11,   19,   1,   18,   14,   7,   6,   10,   2,   13,   8"
Parus major,Great Tit,"0.1,   0.11,   0.12,   0.13,   0.15,   0.16,   0.17,   0.25,   0.27,   0.31,   0.38,   0.46,   0.56,   0.58,   0.62,   0.79","A029,   A024,   A021,   A035,   A022,   A034,   A032,   A023,   A027,   A033,   xa23,   A026,   A030,   A025,   A036,   A037","17,   7,   1,   2,   15,   12,   18,   16,   6,   13,   11,   19,   8,   10,   3,   14"
Curruca communis,Greater Whitethroat,"0.1,   0.11,   0.12,   0.12,   0.13,   0.13,   0.13,   0.16,   0.17,   0.18,   0.23,   0.25,   0.25,   0.28,   0.31,   0.55","A036,   A034,   A027,   A033,   A026,   A023,   A035,   A037,   A022,   A024,   A032,   A025,   A021,   A029,   xa23,   A030","3,   12,   6,   13,   19,   16,   2,   14,   15,   7,   18,   10,   1,   17,   11,   8"
Carduelis carduelis,European Goldfinch,"0.1,   0.12,   0.13,   0.13,   0.15,   0.16,   0.21,   0.26,   0.28,   0.3,   0.37,   0.56,   0.7,   0.86,   0.87,   0.93","A024,   A027,   A029,   A035,   A037,   A025,   A023,   A022,   A026,   A033,   A032,   A034,   xa23,   A036,   A021,   A030","7,   6,   17,   2,   14,   10,   16,   15,   19,   13,   18,   12,   11,   3,   1,   8"
Delichon urbicum,Common House-Martin,"0.1,   0.11,   0.11,   0.12,   0.12,   0.13,   0.2,   0.23,   0.25,   0.26,   0.38,   0.87","A022,   A035,   xa23,   A025,   A034,   A032,   A036,   A026,   A023,   A024,   A037,   A021","15,   2,   11,   10,   12,   18,   3,   19,   16,   7,   14,   1"
Columba palumbus,Common Wood-Pigeon,"0.1,   0.1,   0.1,   0.11,   0.12,   0.12,   0.12,   0.13,   0.18,   0.19,   0.24,   0.28,   0.51,   0.55,   0.76","A025,   A022,   A036,   A035,   A023,   A029,   A024,   A027,   A021,   A026,   A034,   A037,   A033,   A030,   xa23","10,   15,   3,   2,   16,   17,   7,   6,   1,   19,   12,   14,   13,   8,   11"
Emberiza schoeniclus,Reed Bunting,"0.11,   0.11,   0.11,   0.12,   0.12,   0.13,   0.13,   0.13,   0.14,   0.14,   0.15,   0.16,   0.16,   0.17,   0.2","A026,   A023,   A035,   A027,   A036,   A021,   A034,   A033,   xa23,   A032,   A037,   A025,   A022,   A024,   A029","19,   16,   2,   6,   3,   1,   12,   13,   11,   18,   14,   10,   15,   7,   17"
Spinus spinus,Eurasian Siskin,"0.1,   0.11,   0.11,   0.11,   0.12,   0.13,   0.16,   0.17,   0.17,   0.2,   0.2,   0.24,   0.25,   0.31,   0.35","A025,   A036,   A033,   A037,   A024,   A027,   A034,   A022,   A029,   A023,   A035,   A032,   xa23,   A026,   A021","10,   3,   13,   14,   7,   6,   12,   15,   17,   16,   2,   18,   11,   19,   1"
Streptopelia decaocto,Eurasian Collared-Dove,"0.11,   0.13,   0.13,   0.15,   0.21,   0.22,   0.23,   0.24,   0.24,   0.3,   0.32,   0.33,   0.33,   0.5","A026,   A024,   A035,   xa23,   A023,   A029,   A025,   A037,   A027,   A021,   A036,   A033,   A034,   A030","19,   7,   2,   11,   16,   17,   10,   14,   6,   1,   3,   13,   12,   8"
Streptopelia turtur,European Turtle-Dove,"0.1,   0.11,   0.11,   0.11,   0.12,   0.15,   0.16,   0.16,   0.16,   0.18,   0.35,   0.37,   0.62","A036,   A022,   xa23,   A023,   A032,   A035,   A021,   A025,   A027,   A029,   A024,   A037,   A026","3,   15,   11,   16,   18,   2,   1,   10,   6,   17,   7,   14,   19"
Alauda arvensis,Eurasian Skylark,"0.11,   0.11,   0.12,   0.12,   0.13,   0.13,   0.14,   0.19,   0.29,   0.35,   0.36,   0.41,   0.43,   0.53","A027,   A021,   A022,   A023,   A035,   A029,   xa23,   A034,   A026,   A033,   A032,   A025,   A037,   A036","6,   1,   15,   16,   2,   17,   11,   12,   19,   13,   18,   10,   14,   3"
Phoenicurus ochruros,Black Redstart,"0.1,   0.1,   0.11,   0.11,   0.11,   0.13,   0.14,   0.16,   0.16,   0.23,   0.23,   0.28,   0.36,   0.42","A035,   xa23,   A021,   A029,   A026,   A024,   A025,   A023,   A034,   A027,   A033,   A022,   A032,   A037","2,   11,   1,   17,   19,   7,   10,   16,   12,   6,   13,   15,   18,   14"
Anthus trivialis,Tree Pipit,"0.11,   0.11,   0.11,   0.11,   0.11,   0.12,   0.12,   0.13,   0.13,   0.14,   0.15,   0.18,   0.22,   0.23,   0.24,   0.54","A027,   A029,   A024,   A025,   xa23,   A033,   A034,   A035,   A023,   A036,   A021,   A026,   A032,   A022,   A037,   A030","6,   17,   7,   10,   11,   13,   12,   2,   16,   3,   1,   19,   18,   15,   14,   8"
Dendrocoptes medius,Middle Spotted Woodpecker,"0.1,   0.11,   0.12,   0.12,   0.15,   0.17,   0.2,   0.21,   0.24,   0.78","xa23,   A036,   A024,   A037,   A025,   A023,   A027,   A029,   A022,   A021","11,   3,   7,   14,   10,   16,   6,   17,   15,   1"
Serinus serinus,European Serin,"0.12,   0.12,   0.12,   0.12,   0.13,   0.15,   0.16,   0.19,   0.26","xa23,   A027,   A036,   A033,   A032,   A029,   A021,   A025,   A024","11,   6,   3,   13,   18,   17,   1,   10,   7"
Certhia brachydactyla,Short-toed Treecreeper,"0.1,   0.11,   0.12,   0.12,   0.12,   0.13,   0.15,   0.17,   0.17,   0.31,   0.51,   0.54,   0.58,   0.66","A033,   A025,   A027,   A023,   A034,   A036,   xa23,   A022,   A026,   A021,   A037,   A035,   A024,   A030","13,   10,   6,   16,   12,   3,   11,   15,   19,   1,   14,   2,   7,   8"
Hirundo rustica,Barn Swallow,"0.11,   0.14,   0.15,   0.15,   0.16,   0.18,   0.21,   0.22,   0.26,   0.29,   0.54,   0.55,   0.59,   0.62,   0.64,   0.93","A027,   A023,   A032,   A036,   xa23,   A033,   A034,   A037,   A022,   A029,   A025,   A035,   A030,   A026,   A021,   A024","6,   16,   18,   3,   11,   13,   12,   14,   15,   17,   10,   2,   8,   19,   1,   7"
Numenius arquata,Eurasian Curlew,"0.1,   0.1,   0.1,   0.11,   0.11,   0.12,   0.13,   0.13,   0.15,   0.15,   0.15,   0.18,   0.28,   0.29,   0.5,   0.83","A022,   A027,   A035,   A024,   A033,   xa23,   A021,   A034,   A025,   A036,   A032,   A029,   A026,   A023,   A037,   A030","15,   6,   2,   7,   13,   11,   1,   12,   10,   3,   18,   17,   19,   16,   14,   8"
Acrocephalus palustris,Marsh Warbler,"0.1,   0.11,   0.11,   0.11,   0.12,   0.12,   0.13,   0.13,   0.15,   0.19,   0.2,   0.22,   0.22,   0.23","A037,   xa23,   A033,   A027,   A026,   A025,   A034,   A023,   A024,   A022,   A029,   A021,   A036,   A035","14,   11,   13,   6,   19,   10,   12,   16,   7,   15,   17,   1,   3,   2"
Erithacus rubecula,European Robin,"0.1,   0.1,   0.1,   0.1,   0.11,   0.11,   0.12,   0.12,   0.13,   0.13,   0.14,   0.16,   0.18,   0.24,   0.3,   0.62","A021,   A036,   A026,   A035,   A033,   A034,   A024,   A022,   xa23,   A025,   A023,   A032,   A027,   A029,   A037,   A030","1,   3,   19,   2,   13,   12,   7,   15,   11,   10,   16,   18,   6,   17,   14,   8"
Buteo buteo,Common Buzzard,"0.1,   0.12,   0.12,   0.12,   0.12,   0.13,   0.14,   0.15,   0.16,   0.18,   0.27,   0.43,   0.44,   0.45,   0.53,   0.75","A033,   A036,   xa23,   A022,   A035,   A023,   A026,   A027,   A024,   A034,   A021,   A037,   A032,   A025,   A030,   A029","13,   3,   11,   15,   2,   16,   19,   6,   7,   12,   1,   14,   18,   10,   8,   17"
Oriolus oriolus,Eurasian Golden Oriole,"0.1,   0.1,   0.1,   0.1,   0.1,   0.11,   0.12,   0.13,   0.14,   0.17,   0.17,   0.2,   0.22,   0.28,   0.37,   0.69","A033,   A021,   A029,   A024,   xa23,   A022,   A023,   A032,   A027,   A025,   A036,   A034,   A035,   A026,   A037,   A030","13,   1,   17,   7,   11,   15,   16,   18,   6,   10,   3,   12,   2,   19,   14,   8"
Cyanistes caeruleus,Eurasian Blue Tit,"0.1,   0.13,   0.13,   0.14,   0.17,   0.19,   0.19,   0.22,   0.24,   0.26,   0.26,   0.28,   0.3,   0.37,   0.96","A023,   A036,   A034,   A029,   A021,   A025,   A037,   A026,   A033,   A022,   xa23,   A027,   A032,   A024,   A030","16,   3,   12,   17,   1,   10,   14,   19,   13,   15,   11,   6,   18,   7,   8"
Cuculus canorus,Common Cuckoo,"0.1,   0.1,   0.11,   0.11,   0.14,   0.15,   0.15,   0.18,   0.18,   0.24,   0.25,   0.32,   0.49,   0.68,   0.73","xa23,   A035,   A024,   A037,   A032,   A022,   A025,   A029,   A034,   A033,   A036,   A026,   A027,   A021,   A030","11,   2,   7,   14,   18,   15,   10,   17,   12,   13,   3,   19,   6,   1,   8"
Curruca curruca,Lesser Whitethroat,"0.1,   0.1,   0.11,   0.11,   0.11,   0.12,   0.12,   0.14,   0.15,   0.18,   0.19,   0.21,   0.21,   0.22,   0.4","A034,   A036,   A029,   A027,   A025,   A026,   A033,   A024,   A021,   xa23,   A022,   A032,   A037,   A023,   A035","12,   3,   17,   6,   10,   19,   13,   7,   1,   11,   15,   18,   14,   16,   2"
Acrocephalus arundinaceus,Great Reed Warbler,"0.1,   0.1,   0.1,   0.11,   0.12,   0.12,   0.13,   0.13,   0.13,   0.15,   0.18,   0.18,   0.3","A029,   A032,   A037,   A023,   A025,   A036,   A035,   A033,   A024,   A021,   A034,   A022,   xa23","17,   18,   14,   16,   10,   3,   2,   13,   7,   1,   12,   15,   11"
Locustella naevia,Common Grasshopper-Warbler,"0.11,   0.11,   0.11,   0.12,   0.12,   0.13,   0.13,   0.13,   0.14,   0.14,   0.19,   0.19,   0.26,   0.26,   0.29","A025,   A036,   A021,   A026,   A033,   A035,   A023,   xa23,   A037,   A029,   A022,   A027,   A032,   A034,   A024","10,   3,   1,   19,   13,   2,   16,   11,   14,   17,   15,   6,   18,   12,   7"
Turdus philomelos,Song Thrush,"0.1,   0.1,   0.11,   0.11,   0.12,   0.13,   0.13,   0.14,   0.15,   0.16,   0.16,   0.19,   0.22,   0.23,   0.25,   0.66","A024,   A033,   A026,   xa23,   A037,   A035,   A023,   A036,   A032,   A022,   A025,   A027,   A021,   A029,   A034,   A030","7,   13,   19,   11,   14,   2,   16,   3,   18,   15,   10,   6,   1,   17,   12,   8"
Chloris chloris,European Greenfinch,"0.1,   0.1,   0.1,   0.13,   0.13,   0.14,   0.14,   0.15,   0.15,   0.21,   0.26,   0.26,   0.39,   0.43,   0.62,   0.83","A036,   A029,   A021,   A024,   A037,   A022,   A026,   A035,   A032,   A027,   A025,   A034,   xa23,   A033,   A023,   A030","3,   17,   1,   7,   14,   15,   19,   2,   18,   6,   10,   12,   11,   13,   16,   8"
Turdus viscivorus,Mistle Thrush,"0.11,   0.11,   0.11,   0.12,   0.12,   0.12,   0.13,   0.14,   0.15,   0.16,   0.16,   0.18,   0.23,   0.27,   0.27,   0.55","A032,   A022,   A023,   A027,   A026,   A025,   A037,   A024,   A035,   A033,   A034,   A021,   xa23,   A036,   A029,   A030","18,   15,   16,   6,   19,   10,   14,   7,   2,   13,   12,   1,   11,   3,   17,   8"
Dendrocopos major,Great Spotted Woodpecker,"0.11,   0.11,   0.12,   0.12,   0.13,   0.14,   0.17,   0.2,   0.22,   0.23,   0.24,   0.3,   0.36,   0.36,   0.75","A027,   A029,   A037,   xa23,   A036,   A024,   A023,   A026,   A033,   A032,   A034,   A025,   A022,   A021,   A030","6,   17,   14,   11,   3,   7,   16,   19,   13,   18,   12,   10,   15,   1,   8"
Sturnus vulgaris,European Starling,"0.1,   0.12,   0.12,   0.13,   0.13,   0.17,   0.18,   0.18,   0.19,   0.21,   0.4","A022,   A021,   A025,   A027,   A029,   A026,   A036,   A037,   A034,   A035,   A024","15,   1,   10,   6,   17,   19,   3,   14,   12,   2,   7"
Apus apus,Common Swift,"0.1,   0.1,   0.1,   0.11,   0.13,   0.14,   0.17,   0.26,   0.28,   0.29,   0.32,   0.33,   0.36,   0.93,   0.94","A033,   A025,   A034,   A024,   xa23,   A035,   A032,   A021,   A022,   A037,   A029,   A023,   A027,   A036,   A026","13,   10,   12,   7,   11,   2,   18,   1,   15,   14,   17,   16,   6,   3,   19"
Motacilla flava,Western Yellow Wagtail,"0.1,   0.11,   0.12,   0.12,   0.14,   0.15,   0.15,   0.15,   0.16,   0.16,   0.19,   0.58,   0.61,   0.66,   0.77","A024,   A022,   A036,   A027,   A023,   A025,   A029,   xa23,   A035,   A032,   A037,   A033,   A021,   A034,   A026","7,   15,   3,   6,   16,   10,   17,   11,   2,   18,   14,   13,   1,   12,   19"
Luscinia megarhynchos,Common Nightingale,"0.1,   0.1,   0.1,   0.11,   0.11,   0.12,   0.12,   0.13,   0.14,   0.15,   0.18,   0.19,   0.22,   0.26,   0.31,   0.8","xa23,   A032,   A021,   A022,   A034,   A023,   A026,   A035,   A033,   A027,   A037,   A024,   A025,   A029,   A036,   A030","11,   18,   1,   15,   12,   16,   19,   2,   13,   6,   14,   7,   10,   17,   3,   8"
Psittacula krameri,Rose-ringed Parakeet,"0.13,   0.19,   0.2,   0.21,   0.21,   0.26,   0.33,   0.35,   0.42,   0.52,   0.74,   0.86,   0.89","A035,   A025,   A024,   A021,   xa23,   A029,   A022,   A032,   A036,   A026,   A037,   A023,   A027","2,   10,   7,   1,   11,   17,   15,   18,   3,   19,   14,   16,   6"
Pyrrhula pyrrhula,Eurasian Bullfinch,"0.1,   0.1,   0.11,   0.11,   0.12,   0.12,   0.12,   0.13,   0.15,   0.18,   0.19,   0.26,   0.26,   0.27,   0.29","A022,   A037,   A027,   A024,   A025,   A023,   A026,   A035,   A021,   A034,   xa23,   A032,   A036,   A033,   A029","15,   14,   6,   7,   10,   16,   19,   2,   1,   12,   11,   18,   3,   13,   17"
Tringa ochropus,Green Sandpiper,"0.1,   0.11,   0.11,   0.11,   0.11,   0.12,   0.15,   0.16,   0.17,   0.19,   0.24,   0.28,   0.34,   0.48,   0.61","A024,   A029,   xa23,   A036,   A032,   A021,   A022,   A027,   A033,   A035,   A037,   A025,   A034,   A023,   A030","7,   17,   11,   3,   18,   1,   15,   6,   13,   2,   14,   10,   12,   16,   8"
Prunella modularis,Dunnock,"0.1,   0.1,   0.11,   0.13,   0.15,   0.16,   0.16,   0.21,   0.25,   0.27,   0.31,   0.35,   0.6,   0.77,   0.82,   0.95","A027,   A025,   A022,   A032,   A034,   A035,   xa23,   A021,   A026,   A023,   A029,   A024,   A036,   A030,   A037,   A033","6,   10,   15,   18,   12,   2,   11,   1,   19,   16,   17,   7,   3,   8,   14,   13"
Jynx torquilla,Eurasian Wryneck,"0.1,   0.1,   0.1,   0.1,   0.11,   0.11,   0.11,   0.13,   0.13,   0.14,   0.16,   0.22,   0.6","A025,   xa23,   A036,   A026,   A023,   A021,   A024,   A035,   A034,   A027,   A032,   A022,   A033","10,   11,   3,   19,   16,   1,   7,   2,   12,   6,   18,   15,   13"
Hippolais polyglotta,Melodious Warbler,"0.1,   0.1,   0.11,   0.12,   0.13,   0.15,   0.15,   0.18,   0.19,   0.22,   0.23,   0.25,   0.52","A036,   A026,   A021,   A029,   A032,   A025,   A035,   A022,   A024,   A037,   A023,   xa23,   A027","3,   19,   1,   17,   18,   10,   2,   15,   7,   14,   16,   11,   6"
Cettia cetti,Cetti's Warbler,"0.12,   0.12,   0.13,   0.17,   0.18,   0.2","xa23,   A024,   A037,   A027,   A021,   A029","11,   7,   14,   6,   1,   17"
Haematopus ostralegus,Eurasian Oystercatcher,"0.13,   0.13,   0.14,   0.15,   0.15,   0.16,   0.18,   0.19,   0.2,   0.21,   0.24,   0.29","xa23,   A036,   A023,   A025,   A024,   A026,   A035,   A037,   A022,   A029,   A032,   A021","11,   3,   16,   10,   7,   19,   2,   14,   15,   17,   18,   1"
Milvus milvus,Red Kite,"0.1,   0.1,   0.1,   0.11,   0.11,   0.11,   0.12,   0.13,   0.13,   0.13,   0.14,   0.14,   0.17,   0.18,   0.25","A034,   A029,   A023,   A033,   A037,   A022,   A027,   A025,   A026,   A036,   xa23,   A032,   A021,   A024,   A035","12,   17,   16,   13,   14,   15,   6,   10,   19,   3,   11,   18,   1,   7,   2"
Acrocephalus schoenobaenus,Sedge Warbler,"0.1,   0.1,   0.1,   0.12,   0.13,   0.13,   0.14,   0.16,   0.17,   0.21","A023,   A029,   A027,   xa23,   A026,   A021,   A035,   A036,   A024,   A033","16,   17,   6,   11,   19,   1,   2,   3,   7,   13"
Regulus ignicapilla,Common Firecrest,"0.12,   0.14,   0.15,   0.16,   0.16,   0.18,   0.19,   0.25,   0.42,   0.96","xa23,   A034,   A021,   A027,   A033,   A025,   A035,   A024,   A037,   A030","11,   12,   1,   6,   13,   10,   2,   7,   14,   8"
Sitta europaea,Eurasian Nuthatch,"0.12,   0.12,   0.14,   0.15,   0.15,   0.18,   0.3,   0.3,   0.59,   0.64","A024,   A027,   xa23,   A029,   A025,   A021,   A032,   A036,   A030,   A023","7,   6,   11,   17,   10,   1,   18,   3,   8,   16"
Acrocephalus scirpaceus,Eurasian Reed Warbler,"0.1,   0.1,   0.1,   0.11,   0.11,   0.11,   0.12,   0.12,   0.13,   0.13,   0.13,   0.14,   0.14,   0.18,   0.27","A022,   A023,   A021,   A029,   A033,   A026,   A035,   A025,   A032,   A034,   A024,   A037,   A036,   A027,   xa23","15,   16,   1,   17,   13,   19,   2,   10,   18,   12,   7,   14,   3,   6,   11"
Anas crecca,Green-winged Teal,"0.1,   0.1,   0.11,   0.12,   0.12,   0.12,   0.13,   0.15,   0.17,   0.18,   0.18,   0.2,   0.2,   0.29,   0.32,   0.52","A036,   A022,   A024,   xa23,   A025,   A021,   A026,   A029,   A035,   A032,   A033,   A023,   A037,   A027,   A034,   A030","3,   15,   7,   11,   10,   1,   19,   17,   2,   18,   13,   16,   14,   6,   12,   8"
Gallinago gallinago,Common Snipe,"0.1,   0.1,   0.11,   0.11,   0.12,   0.12,   0.13,   0.14,   0.15,   0.17,   0.17,   0.81","A026,   A032,   A021,   A035,   A033,   A036,   A022,   A037,   A029,   A034,   A025,   A024","19,   18,   1,   2,   13,   3,   15,   14,   17,   12,   10,   7"
Podiceps cristatus,Great Crested Grebe,"0.11,   0.12,   0.14,   0.16,   0.17,   0.17,   0.23","A032,   A036,   A035,   A026,   A029,   A022,   A021","18,   3,   2,   19,   17,   15,   1"
Locustella luscinioides,Savi's Warbler,"0.1,   0.1,   0.11,   0.12,   0.12,   0.12,   0.12,   0.13,   0.13,   0.15,   0.16,   0.17,   0.23,   0.37","A037,   A022,   A034,   A036,   A021,   A024,   A035,   A029,   A025,   A032,   A033,   A026,   xa23,   A023","14,   15,   12,   3,   1,   7,   2,   17,   10,   18,   13,   19,   11,   16"
Charadrius dubius,Little Ringed Plover,"0.1,   0.1,   0.11,   0.11,   0.12,   0.12,   0.14,   0.15,   0.17,   0.18,   0.19,   0.2,   0.21,   0.22,   0.23","A035,   A033,   A021,   A037,   A026,   A023,   A036,   A029,   A034,   A032,   A025,   A022,   A027,   xa23,   A024","2,   13,   1,   14,   19,   16,   3,   17,   12,   18,   10,   15,   6,   11,   7"
Periparus ater,Coal Tit,"0.1,   0.11,   0.14,   0.15,   0.15,   0.16,   0.16,   0.17,   0.18,   0.18,   0.3","A029,   A026,   A023,   A021,   A025,   A024,   A027,   A035,   A037,   A033,   xa23","17,   19,   16,   1,   10,   7,   6,   2,   14,   13,   11"
Luscinia svecica,Bluethroat,"0.1,   0.1,   0.1,   0.11,   0.11,   0.13,   0.13,   0.13,   0.13,   0.14,   0.16,   0.16,   0.23,   0.31,   0.31","A036,   A023,   A035,   A022,   A027,   A037,   A025,   A024,   A033,   A034,   A029,   A026,   A032,   xa23,   A021","3,   16,   2,   15,   6,   14,   10,   7,   13,   12,   17,   19,   18,   11,   1"
Gallinula chloropus,Eurasian Moorhen,"0.1,   0.1,   0.1,   0.11,   0.11,   0.11,   0.11,   0.11,   0.12,   0.13,   0.13,   0.2,   0.2,   0.23,   0.24,   0.9","A022,   A032,   A024,   A034,   A026,   A036,   A025,   A029,   A035,   A023,   A033,   A027,   A021,   A037,   xa23,   A030","15,   18,   7,   12,   19,   3,   10,   17,   2,   16,   13,   6,   1,   14,   11,   8"
Tachybaptus ruficollis,Little Grebe,"0.1,   0.1,   0.11,   0.11,   0.12,   0.12,   0.16,   0.24,   0.27,   0.29,   0.37,   0.43","A023,   A035,   A029,   A034,   A025,   A036,   xa23,   A022,   A033,   A037,   A032,   A021","16,   2,   17,   12,   10,   3,   11,   15,   13,   14,   18,   1"
Anas platyrhynchos,Mallard,"0.1,   0.11,   0.12,   0.12,   0.13,   0.14,   0.14,   0.15,   0.15,   0.16,   0.17,   0.17,   0.21,   0.24,   0.39,   0.52","xa23,   A033,   A021,   A035,   A034,   A023,   A029,   A037,   A022,   A025,   A036,   A024,   A026,   A032,   A027,   A030","11,   13,   1,   2,   12,   16,   17,   14,   15,   10,   3,   7,   19,   18,   6,   8"
Chroicocephalus ridibundus,Black-headed Gull,"0.11,   0.11,   0.11,   0.12,   0.12,   0.12,   0.13,   0.14,   0.15,   0.16,   0.16,   0.17,   0.18,   0.24,   0.52","A032,   xa23,   A022,   A021,   A037,   A036,   A025,   A034,   A029,   A024,   A023,   A033,   A026,   A035,   A030","18,   11,   15,   1,   14,   3,   10,   12,   17,   7,   16,   13,   19,   2,   8"
